
boa;10
vergonha;2
daquele;1
outdoor;6
do;697
bolsonaro;2557
no;634
centro;1
da;440
cidade,;1
ai;5
gente;11
não;1112
ferra;1
na;507
rt;3567
@fabiocoutsilva:;48
pms;48
gritavam;48
"bolsonaro;58
presidente",;48
provocando;48
as;205
manifestantes.
elas;48
dão;48
passagem;48
a;1005
um;486
carro;50
com;1022
uma;787
grávida;48
dentro.…;48
@genpaulochagas:;6
confusão;7
caos;6
sobressai;6
figura;7
dep;6
jair;514
bolsonaro,;161
cada;10
vez;17
mais;197
prestigiado;5
pela;55
sociedade;5
por;344
se;225
enqua…;5
@cinefilo_k:;592
para;987
quando;609
alguém;601
disser;590
que;2155
o;2381
é;1364
homofóbico:
“apenas;590
minoria;590
nasce;590
defeito;590
de;2330
fábrica”;590
https://t.…;597
@osvladpereira:;65
onix;16
lorenzoni;17
anuncia
apoio;15
110;131
parlamentares
a;15
bolsonaro
sem;15
negociata;15
partidária
#bolsonaropresidente;15
https:/…;15
@dcm_online:;36
bob;10
fernandes;10
sobre;113
comida;13
envenenada…;9
“como;9
chegamos;14
isso?”;7
https://t.co/j2yia5a5o1;2
@revistaforum:;5
x;11
alckmin:;10
amor;10
aos;19
patrões;10
e;1110
ódio;9
trabalhadores
https://t.co/1r8dppeqgh;4
retweeted;20
general;16
paulo;43
chagas;14
(@genpaulochagas):

na;1
ca…;3
https://t.co/1jcazub7y7;1
gostei;31
vídeo;58
@youtube;60
https://t.co/bbyts8etpr;1
melhor;18
acaba;11
acontecer!;9
surpreende;9
todos;86
anuncia;24
terá;84
agora;113
querem;57
bolsonaro
produtores;40
rurais;42
explicam;43
porque;103
trocaram;42
alckmin;84
bolsonaro
#bolsonaropresidente…;40
@cocielo;5
aposto;1
metade;5
quem;48
tá;12
criticando;2
cocielo;1
vota;82
fale;13
como;62
povo
seja;10
patriota;11
🇧🇷
tenha;10
deus;20
coração
e;10
seja;15
honesto
só;10
bolsonaro
#bolsonaropresidente;10
https:…;17
@winstonling:;14
aqueles;15
tinham;14
dúvidas;14
“governabilidade”👇👇👇jair;14
já;173
tem;173
maior;203
bancada;151
parlamentares;46
câmara…;14
@pauloap:;17
falou;46
em;501
1993;15
ninguem;15
presta;15
congresso;33
=;15
queimem;15
esse;82
nazista

caue;15
moura;14
twittou;14
2016;14
estuprar;14
cadá…;13
💎ʀε̂βøα;1
•;1
ʀε̂αçα🇧🇷;1
(@reaca_):

📍apoiadora;1

📌fã;1
trump
mulher
armamentista
feminina;1

hétero…;1
https://t.co/ybhnnmqfrm;1
@reaconaria:;16
câmara,;19
apoio;205
deputados!

o;16
capitão;22
pré-candidato;62
câmara.

https…;16
@phbem2018:;3
@janainadobrasil;4
discursa;1
2002,;1
confessa;1
votou;17
lula.;3
2017,;1
diz;257
ao;115
gentili;1
votou…;1
@onyxlorenzoni:;13
;146
somos;21
100;37
lado;22
bolsonaro.;61
brasil;103
decente;13
sem;66
toma-lá-dá-cá.;13
elite;16
indústria;26
aplaude;19
vaia;15
ciro;96
criticar;7
reforma;15
trabalhista;13
https://t.co/pceis7s9wb;1
@anapaularenault:;87
“sabe;86
aquela;97
pessoa;355
defende;95
bolsonaro?
essa;86
mal;87
informada
essa;86
alienada
essa;86
não…;143
@bopressor20:;51
cni;32
https://t.co/rwujik2uz3;7
@karlmarxbr_br:;1
querida;1
amiga,;1
professora;1
universitária;1
!!!
ñ;1
entre;20
nessa;2
pilha;1
d;1
ignorantes,fakes,robôs;1
pró;1
bolsonaro.
a;1
sra;1
está;161
acima…;1
@joelalexandrem:;84
vai;303
estar;55
sexta;80
feira(06/07);52
23:00hs;79
mariana;80
godoy;78
entrevista;143
rede;94
tv,;78
ser;144
recorde;51
audiê…;51
@sidneyrezende:;3
empresários;56
ligados;30
à;61
cni,;122
confederação;22
nacional;23
indústria,;3
ouvidos;3
